price,floor,floors_count,rooms_count,total_m2,price_per_m2,year_of_construction,living_m2,kitchen_m2,district,underground,city
27000000,7,11,5,185.7,145395,2003,119.0,19.0,ленинский,алабинская,самара
27700000,4,7,5,177.5,156056,1994,64.0,20.0,ленинский,алабинская,самара
85000000,10,10,5,353.0,240793,1986,300.0,40.0,самарский,самарский,самара
13500000,16,17,5,203.5,66339,2009,117.0,20.0,промышленный,промышленный,самара
11500000,2,2,5,130.0,88461,1917,0.0,8.0,самарский,самарский,самара
20999999,9,24,5,146.0,143835,2019,76.0,27.0,железнодорожный,железнодорожный,самара
8500000,1,2,5,117.0,72649,1986,59.0,15.0,самарский,самарский,самара
10000000,10,13,5,130.0,76923,1992,85.0,20.0,железнодорожный,железнодорожный,самара
21500000,17,17,5,237.0,90717,2018,193.0,39.0,ленинский,ленинский,самара
12500000,3,3,5,135.7,92114,1917,103.0,17.0,ленинский,ленинский,самара
72335000,20,22,5,391.0,185000,2015,250.0,33.0,октябрьский,алабинская,самара
7600000,4,5,5,130.0,58461,1999,100.0,12.0,центральный,центральный,самара
12000000,14,18,5,154.0,77922,2001,98.0,30.0,промышленный,промышленный,самара
5400000,7,9,5,120.0,45000,1985,75.0,9.0,куйбышевский,куйбышевский,самара
11000000,3,3,5,135.5,81180,1917,80.0,13.0,самарский,самарский,самара
13000000,16,17,5,200.0,65000,2009,0.0,0.0,промышленный,промышленный,самара
13700000,10,11,5,160.0,85625,1998,120.0,16.0,октябрьский,октябрьский,самара
13800000,8,10,5,124.3,111021,1986,63.0,8.0,красноглинский,красноглинский,самара
5150000,1,9,5,90.0,57222,1970,68.0,7.0,автозаводский,автозаводский,самара
21000000,6,13,5,187.4,112059,1998,101.0,23.0,октябрьский,октябрьский,самара
16000000,2,3,5,150.1,106595,1917,65.0,9.0,самарский,самарский,самара
6500000,10,10,5,90.1,72142,1993,57.0,10.0,автозаводский,автозаводский,самара
16990000,2,8,5,140.0,121357,1993,100.0,16.0,ленинский,алабинская,самара
7950000,4,4,5,108.0,73611,1959,0.0,20.0,самарский,самарский,самара
12450000,4,9,5,152.9,81425,2007,75.0,37.0,автозаводский,автозаводский,самара
21500000,5,5,5,114.0,188596,1932,84.0,9.0,самарский,самарский,самара
16500000,4,7,5,234.0,70512,1968,180.0,23.0,центральный,центральный,самара
13000000,16,17,5,200.0,65000,2009,1.0,35.0,промышленный,российская,самара
5400000,6,9,5,90.0,60000,1993,60.0,10.0,автозаводский,автозаводский,самара
10300000,2,3,5,258.5,39845,2002,220.0,35.0,автозаводский,автозаводский,самара
16500000,2,3,5,179.4,91973,1999,87.0,40.0,автозаводский,автозаводский,самара
6500000,8,9,5,110.0,59090,1980,74.0,9.0,автозаводский,автозаводский,самара
25500000,19,27,5,112.0,227678,2015,42.0,8.0,октябрьский,российская,самара
15000000,6,10,5,144.0,104166,2008,103.0,31.0,кировский,безымянка,самара
10800000,5,12,5,109.8,98360,1975,75.0,11.0,автозаводский,автозаводский,самара
13600000,5,6,5,147.0,92517,1999,77.0,14.0,самарский,алабинская,самара
8200000,6,9,5,111.6,73476,1995,0.0,0.0,советский,советская,самара
6999000,5,9,5,100.0,69990,1991,0.0,0.0,автозаводский,автозаводский,самара
6999000,5,9,5,100.0,69990,1991,70.0,15.0,автозаводский,автозаводский,самара
19500000,5,10,5,188.9,103229,2003,122.0,17.0,ленинский,московская,самара
4750000,5,5,3,76.0,62500,1974,0.0,0.0,автозаводский,автозаводский,самара
5000000,4,9,4,81.1,61652,1983,0.0,7.0,автозаводский,автозаводский,самара
7200000,5,14,4,98.7,72948,1998,0.0,24.0,автозаводский,автозаводский,самара
