price,floor,floors_count,rooms_count,total_m2,price_per_m2,year_of_construction,living_m2,kitchen_m2,district,underground,city
54456262,2,9,5,138.5,393186,2022,83.0,15.0,петроградский,крестовский остров,spb
58320000,1,6,5,201.8,288999,2008,107.0,19.0,петроградский,крестовский остров,spb
72592065,7,9,5,195.93,370500,2025,0.0,0.0,петроградский,чкаловская,spb
440000000,7,7,5,363.0,1212121,2005,103.0,140.0,петроградский,петроградский,spb
26222280,2,3,5,100.7,260400,2022,0.0,0.0,петродворцовый,автово,spb
299900000,7,7,5,326.0,919938,2007,171.0,35.0,петроградский,крестовский остров,spb
45770094,10,10,5,149.3,306564,2022,83.0,25.0,приморский,черная речка,spb
75000000,4,5,5,381.5,196592,1912,264.0,38.0,петроградский,петроградская,spb
97314000,7,8,5,231.7,420000,2019,113.0,23.0,петроградский,крестовский остров,spb
25000000,5,7,5,136.1,183688,1991,78.0,18.0,московский,московская,spb
108828180,7,7,5,187.0,581968,2024,0.0,0.0,василеостровский,василеостровская,spb
109900000,7,7,5,250.0,439600,1911,141.0,78.0,петроградский,петроградская,spb
135895500,6,6,5,232.3,585000,2022,137.0,33.0,московский,московская,spb
235000000,8,13,5,320.0,734375,2017,0.0,105.0,петроградский,петроградский,spb
235264000,2,6,5,294.0,800217,2024,0.0,0.0,петроградский,крестовский остров,spb
117000000,7,7,5,200.0,585000,2008,0.0,0.0,петроградский,крестовский остров,spb
33880000,15,18,5,169.4,200000,2023,78.0,30.0,василеостровский,приморская,spb
130000000,4,7,5,195.5,664961,2007,119.0,19.0,петроградский,петроградская,spb
44880000,14,18,5,224.4,200000,2023,78.0,30.0,василеостровский,приморская,spb
73000000,4,6,5,194.0,376288,1876,125.0,30.0,центральный,гостиный двор,spb
45793277,9,10,5,149.6,306104,2022,83.0,25.0,приморский,черная речка,spb
235000000,8,13,5,306.0,767973,2017,199.0,15.0,петроградский,чкаловская,spb
54597200,11,11,5,147.56,370000,2024,0.0,0.0,московский,московские ворота,spb
64073416,8,11,5,167.0,383673,2016,87.0,17.0,петроградский,петроградская,spb
55015300,11,11,5,148.69,370000,2024,0.0,0.0,московский,московские ворота,spb
30500000,7,7,5,184.0,165760,1917,109.0,28.0,адмиралтейский,садовая,spb
55012745,3,9,5,138.0,398643,2022,82.0,14.0,петроградский,крестовский остров,spb
325000000,2,6,5,342.0,950292,2007,146.0,79.0,петроградский,крестовский остров,spb
56371986,4,9,5,139.5,404100,2022,83.0,14.0,петроградский,крестовский остров,spb
69000000,2,5,5,218.0,316513,1952,144.0,18.0,петроградский,петроградская,spb
57180600,17,23,5,211.78,270000,2025,103.0,47.0,московский,московская,spb
440000000,7,7,5,363.0,1212121,2005,243.0,35.0,петроградский,крестовский остров,spb
62340000,5,9,5,190.1,327932,2024,100.0,15.0,красногвардейский,красногвардейский,spb
29990000,20,21,5,166.0,180662,2021,86.0,14.0,приморский,пионерская,spb
62307600,9,9,5,164.4,379000,2021,81.0,13.0,петроградский,крестовский остров,spb
38000000,3,9,5,172.2,220673,2014,99.0,31.0,василеостровский,приморская,spb
62687790,18,23,5,211.07,297000,2025,103.0,46.0,московский,московская,spb
320000000,10,10,5,256.0,1250000,2009,124.0,65.0,центральный,чернышевская,spb
84613395,2,9,5,185.9,455155,2022,94.0,38.0,петроградский,крестовский остров,spb
16300000,7,7,5,151.5,107590,1911,94.0,16.0,адмиралтейский,технологический институт,spb
88150000,2,7,5,215.0,410000,2022,142.0,20.0,петроградский,крестовский остров,spb
67500000,12,12,5,198.9,339366,2013,125.0,21.0,центральный,чернышевская,spb
88224090,2,9,5,200.1,440900,2022,128.0,20.0,петроградский,крестовский остров,spb
400000000,8,9,5,249.7,1601922,2009,119.0,54.0,центральный,чернышевская,spb
88777120,9,9,5,201.4,440800,2021,125.0,21.0,петроградский,крестовский остров,spb
14200000,1,17,5,103.4,137330,1994,68.0,11.0,приморский,комендантский проспект,spb
91627181,2,9,5,204.1,448932,2022,94.0,37.0,петроградский,крестовский остров,spb
46900000,5,6,5,196.1,239163,1910,109.0,15.0,центральный,чернышевская,spb
103032000,5,7,5,212.0,486000,2022,138.0,20.0,петроградский,крестовский остров,spb
117000000,7,7,5,200.0,585000,2009,110.0,20.0,петроградский,крестовский остров,spb
113411600,7,7,5,201.8,562000,2022,131.0,17.0,петроградский,крестовский остров,spb
33300000,2,7,5,165.2,201573,1877,97.0,14.0,центральный,площадь восстания,spb
118440854,2,7,5,260.3,455016,2022,121.0,28.0,петроградский,крестовский остров,spb
36900000,3,6,5,182.3,202413,1916,151.0,17.0,петроградский,петроградская,spb
119477992,2,7,5,264.3,452054,2022,121.0,28.0,петроградский,крестовский остров,spb
